sector,Unnamed: 0,currentPrice,payoutRatio,shortPercentOfFloat,dividendYield,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,debtToEquity,trailingPE,priceToBook,heldPercentInsiders,enterpriseToEbitda,heldPercentInstitutions,numberOfAnalystOpinions,targetMeanPrice
Basic Materials,0.8333333333333334,37.07187142857143,0.10345833488888888,0.04997222308250001,0.008772222288888866,0.23499563368253962,0.055894585465952364,0.01755200318650795,-0.003974247400793652,-0.08091176339484123,65.83420833333334,44.031865780000004,8.817043114166665,0.23725508150277774,-161.44767857142855,0.48483984531746027,4.916666666666667,58.232499999999995
Communication Services,1.5714285714285714,108.85375089428484,0.039015378482469894,0.04333897441882185,0.021132143392857145,0.46875523372439304,0.005688878122490887,0.037471056254316244,0.009810793314300228,0.019109812199328547,108.82975891652207,107.97444028499999,3.0123766532358975,0.18004985129604936,0.8942717182014507,0.5284824040103459,11.03953823953824,156.1526159554731
Consumer Cyclical,2.5714285714285716,133.9855057472469,0.11979221511140402,0.07195951609527008,0.04059918365306119,0.33913225699811267,-0.0030047155402206415,-0.02424865776622923,0.025659111338515558,0.06798924611846927,130.10378412071688,52.75000959719048,5.448671295284754,0.18875633935271768,15.977959609630132,0.5931487543861585,7.992870481525945,191.10401601342286
Consumer Defensive,3.5714285714285716,47.52966076839827,0.1457287823974597,0.048912698461394524,0.024210516130952372,0.3488527538755411,0.06150080923911615,0.019128475964123363,0.04030224076907645,0.05198493934440834,87.08135049474335,85.08688827989897,4.888462153225108,0.21313238902913784,23.767872556015416,0.5399127554100794,7.4692434549577404,64.9918104514533
Energy,4.5,19.33962685185185,1.4697805593055557,0.03208592602777773,0.04741833274999999,0.47915634801851853,0.10331560896296298,0.12625951875277777,0.02261298165666668,0.057218686922222206,41.81553888888889,27.89903275,2.529280872962963,0.20714390733333332,-138.9333388888889,0.5270044395555555,5.887301587301589,20.406515873015874
Financial,6.0,25.77,0.2814,0.0323,0.0216,0.0,0.58193,0.4406,0.01909,0.124110006,0.0,,1.6088152,0.08342,0.0,0.68328005,6.0,27.33
Financial Services,5.571428571428571,42.392791486168925,0.21866061626087158,0.020913466076675744,0.029092557050977526,0.10877568598465458,0.3538279943224948,0.25584745115103,0.01864568055837774,0.11285435741781637,67.61269880952382,34.78102886878091,1.8023869297638033,0.16681985465637061,15.084589048649761,0.4754052940882779,4.489496450517612,48.15264374147347
Healthcare,6.571428571428571,41.787579981372325,0.019791211457377094,0.06758403559880369,0.03404047518333332,0.3179742962268563,-0.025663940335787932,-0.05230378583071362,-0.09813892142451207,-0.20703076662114642,110.68723593948383,203.0948841039975,8.361063662991105,0.12061559681487578,7.9267655868923494,0.6105820017388218,6.397609730916481,72.93417656695799
Industrials,7.571428571428571,49.523960070485074,0.49213981063435636,0.03163934321089977,0.02262875978612764,0.2947682060106393,0.035266542600301334,0.0214842568530056,0.02606638662209287,0.06182955111730709,77.05984923804138,47.8668001103884,3.866637901618031,0.17625325506149112,-6.862700521145521,0.5885203413263553,5.47069727412496,65.13015825133881
Real Estate,8.571428571428571,50.84958326118327,1.738377882857143,0.03439642913857142,0.051292975609353704,0.5785342979612451,0.2216994138361162,0.04734827409678412,0.015778718244374344,0.0032177235926613124,129.4452465471037,38.693655336666666,4.975398269523809,0.12351656731814054,32.10317290249433,0.4401991581549886,6.677210884353742,60.477346938775504
Technology,9.571428571428571,77.23858650723022,0.15318305341600005,0.049802008275484255,0.021811366071013197,0.4779484723196231,0.02486029041913356,0.003947494691289214,0.02177628411938209,0.03533896492213393,63.61159729924609,117.47081199069922,9.100940792618568,0.12926987250885372,-35.80809184689424,0.6336691169332296,8.565235000882945,91.49571365469265
Utilities,10.571428571428571,35.64678571428572,0.86496428,0.017796428464285714,0.024149999714285716,0.41005178714285717,0.12307142964285714,0.1004242891904762,0.012462143035714286,0.05378464292857143,125.90166666666666,17.84702393,4.025814344285714,0.18717916202023804,16.45127380952381,0.4926626188333333,6.214285714285714,43.40107142857143
